Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Arab World,ARB,,,,,,,,,30508728109.4831,33649717927.3933,36718224726.6262,42543279382.294,51627037426.8004,65374396834.0323,126594138078.459,142620971263.651,175548429134.782,202554682778.192,225461955840.82,301390563109.932,399794347873.6,410128605055.606,381408213047.334,359660853982.168,364728345577.043,360423641916.252,339685783700.887,362978256635.061,349661909436.046,368645572901.9,413247124401.719,405211108251.433,434577017323.043,439359038679.762,448598086820.732,481545819785.321,531635085712.252,562758559922.816,546151005462.855,596095644459.956,687269833732.239,666908501347.3,676328276194.316,765391928190.897,890042784100.218,1088037300614.1,1294236857374.76,1516840494975.22,1927235124587.02,1677521067761.57,1908954573177.62
East Asia & Pacific (all income levels),EAS,155535623094.745,152819439926.394,155396518773.302,174049235940.158,200452143758.894,224464439314.543,250896257084.751,271966328329.779,299764312316.166,345282614828.92,400664630436.312,445036151139.005,551921226401.526,727692046225.017,838320690841.151,917999356410.439,1008936500279.39,1202362971033.76,1515262935748.89,1646849878280.39,1782091349725.31,1968985562922.66,1926109279319.15,2040870133233.54,2186995994251.37,2317595788468.6,3014613079041.52,3523491831167.06,4245754726619.94,4442005450433.33,4649923603432.82,5234057147086.57,5710297879762.43,6391189164015.83,7132085773620.75,8060964392306.46,7748622365011.42,7441580577951.27,6635512172298.29,7398954770099.06,8002436234917.41,7435378835337.26,7558354887440.61,8302596955106.57,9338793735579.06,9957025662856.41,10591543984170.7,11877587790091.2,13679346000735.1,14088382527702,16219266890205.3
East Asia & Pacific (developing only),EAP,83404928751.4983,71693730191.7306,64887367736.4034,70254796618.3669,80773195747.7974,94847469993.026,103776827940.883,100641232771.408,101644529974.006,114137556831.253,127209196760.181,136525681683.899,154793326422.872,195277663542.04,220879729743.483,248201055984.326,252393842340.628,291991783807.208,283706191785.036,329047568732.358,381121243915.757,407902719546.904,425152356180.582,445221249997.228,481465638954.057,526446059182.57,522808698829.794,516034910123.517,576958528949.044,625010224888.022,670809059805.899,730965988307.095,817354817725.399,881474460668.522,1062645661116.34,1313141373479.49,1508347397801.56,1563338681005.87,1428833247159.54,1569460083746.55,1727187196873.63,1838607226135.42,2032892848471.84,2296574461263.32,2662912684453.74,3072690866609.37,3695224387979.15,4667525739723.26,5899338815849.7,6366424502258.79,7579414181602.78
Euro area,EMU,243454238265.654,267140541025.492,296882114381.696,333063251719.778,370360182797.366,404683210216.944,441475194893.417,479721489686.852,514901119679.47,570658218581.872,623711532379.547,706815630118.101,854185184890.593,1109700618226.37,1255791340093.54,1458091972464.42,1522055758828.82,1731995003551.02,2119653009857.23,2565791128538.25,2872575954283.48,2496056427758.05,2415876356367.45,2356933056097.88,2260661595838.3,2322382938146.05,3259478366630.01,4030454605499.42,4432921588740.2,4527531454525.23,5688681652540.17,5908377409781.08,6512807190642.12,5964161927032.09,6309932845843.09,7288922296268.6,7370030156311.67,6728740394732.61,6907264692724.85,6875006599481.69,6262006407985.1,6349803739375.06,6909849708950.74,8537171261785.83,9779553277441.71,10153303046270,10760009820809.5,12364463748400.6,13551720568313.7,12438900519830.1,12174523489431.7
Europe & Central Asia (all income levels),ECS,439074937910.281,466460675486.595,510365121668.392,562744639786.307,623098252446.355,678597603084.896,737393446015.546,793495467648.364,828119075600.025,911133201914.535,995030790723.041,1123344488511.68,1347633056307.5,1715155643057.44,1938438112573.19,2270405654767.54,2362081518432.65,2672783320684.67,3271169917897.09,3984851321237.64,4497824447323.38,4001128301544.26,3856902279621.35,3739040915218.29,3592921824870.86,3717139186953.73,5043333715864.73,6189773168054.18,6879404444376.78,7037361301291.45,8549318531268.64,8798933655542.16,9425499275689.84,8663011689594.28,9072111634934.62,10398778986159.4,10599922159076.7,10045468651608.7,10298162119347.5,10197429818891.3,9594400293659.19,9692429705879.48,10616566817432.2,12951425751261.4,15096137633868.3,16058197930578.2,17379968981444.6,20316278003348.4,22334109992249.7,19655784732319.2,20075279428212.1
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895971464956.588,951784876977.602,915106181587.523,846992522719.01,830626608943.562,722256963663.352,769118493114.113,774350597762.102,807943487850.415,754312220786.117,637560917684.092,709910973024.595,708077343899.178,809184958755.38,1021146183971.32,1346861661893.33,1701187812212.72,2087509791151.98,2700126388391.78,3330888968055.82,2609074012279.51,3055026469821.6
European Union,EUU,363835208583.978,395309623717.464,432205064195.387,476091525249.218,527531853993.463,574997768783.366,623466027616.764,670070074425.327,696958495403.075,767289366229.261,842221630072.991,952050780302.774,1140467101464.99,1448631465633.5,1627351689112.51,1903503853893.9,1972931891944.02,2234803087763.74,2734473346428.91,3333719036927.77,3801269753895.96,3361348760959.74,3236788721261.75,3135382419623.09,3009735173594.62,3109356277570.69,4237186678709.53,5204700052572.55,5795203846225.71,5920896782177.26,7285532131474.34,7551081386441.71,8222333431104.27,7495836876910.98,7974583369516.24,9182366180071.46,9372556675096.57,8832994888710.76,9146434891008.66,9153596188899.09,8492035638256.03,8588505541487.66,9371987791470.61,11427771932904.3,13190316718796.9,13770140892953,14680556584762.9,16966065296751.2,18270575577081.7,16346607638810.7,16250328209821.2
Heavily indebted poor countries (HIPC),HPC,18215028310.6357,18664577979.7196,20206732064.076,24476922331.776,21891622225.3156,25582675305.6045,27921692844.1469,27318902282.1048,28631005014.0742,31919550854.9856,33395114751.9803,35982050811.0285,39064123579.8407,47346237989.0157,57562014652.2451,65349899400.7993,69550643087.7431,81776876446.5612,95066018954.8442,105106432215.58,111226643412.716,110617132901.094,110852179434.182,105009307274.975,104927429562.166,109567003497.502,125598244228.626,138509328717.892,137614087150.933,132522862742.29,134623340806.402,136898256752.361,129575306866.489,127396123150.701,111890370216.961,127849704342.55,134273332277.335,140908627820.716,144923683281.612,143555044075.369,140498378889.057,141895099312.233,153828415492.859,175842507527.206,203206575574.074,230498642411.882,274877293155.392,327817977173.427,398199923444.504,392441989805.763,423398874150.556
High income,HIC,1027319645431.97,1085875940006.27,1174493032351.92,1264785265726.11,1381080738652.75,1500032391442.1,1645574668155.92,1765934123194.5,1912468416115.67,2098049813423.99,2278387566404.72,2531565108221.5,2945693699555.41,3572595391438.37,4042013471362.22,4532494623056.89,4937651236851.36,5587339719725.1,6705857811457.76,7743627640470.36,8633821462473.88,8757031613651.58,8676734376685.56,8958543769178.62,9348291833492.07,9816773928628.35,11917027518004.2,13777464443838.9,15508919288804.8,16232740123563.1,18207044285005.1,19226040281248.7,20645929448806.8,20824579519265,22328241925572.1,24699190886401.9,24867579810582.9,24470477048437.1,24548886093879.7,25828553018829.9,26342111281125.3,26088740476589.8,27230708946475.8,30541423776468.5,33979475722051.9,35863751780669,37858917379903,41462360403548.9,44091433965324.7,41399322905400,43019027923769.9
High income: nonOECD,NOC,,,,,,19170898380.7545,20985823120.4819,23160534454.5093,25739486402.3721,28723402032.9344,32355465767.7721,39005067159.5796,47843423371.3368,64544941642.5265,123574785916.18,131385229636.32,164070659582.768,190215852381.958,210985135335.839,282683144010.286,383835408341.73,420550268501.686,386402252520.944,360199223518.78,367518904894.454,356581155186.281,346619077446.465,401416159128.817,447024117370.59,511455723937.96,575804975763.082,618318246068.765,691846007859.35,731700534684.276,798290632220.484,878048989484.934,951045829114.454,999151030988.741,930095930994.488,984490740263.05,1088196557977.44,1048753088034.07,1083716431139.05,1174688040224.03,1333673304624.45,1552649264461.9,1747484629012.48,1979226675889.15,2298383736042.16
